temp,pH,salinity,oxygen
17.721305,5.344599,2.2002483,7.42644
11.377281,5.565669,2.8682984,2.947777
20.801543,6.191059,0.6232476,8.27327
29.017938,7.89231,1.5845013,17.416773
14.722217,5.770817,2.0024675,6.209719
20.221365,6.972219,0.4483936,9.398493
13.799481,6.998607,2.0066701,9.503901
15.770561,6.631593,2.0736496,8.19023
7.469207,4.213928,3.1496061,6.671055
28.581598,9.064226,1.3604726,15.82538
12.50763,4.964346,2.8984407,5.00729
9.388075,5.954552,3.0324304,5.865779
11.756267,4.788752,2.9261472,6.519218
14.430454,6.018894,2.0174803,7.003219
19.539645,7.128442,0.6312413,9.247311
19.56405,6.526263,0.5617986,11.218109
27.856418,7.791571,1.7293079,15.817659
9.876177,5.369974,3.0418982,4.799219
34.100169,8.184482,1.5089207,14.538962
16.096794,5.837657,2.1054181,5.842354
18.888318,7.259704,0.4007493,9.647954
29.548458,7.940274,1.6598509,14.106792
11.790251,5.020616,3.0214539,4.278396
12.558565,6.15524,2.0074551,8.144476
23.117417,6.876654,0.4734855,9.061461
19.108676,7.459498,0.4945972,12.037574
21.402712,6.575148,0.3763727,11.684436
13.744188,5.552318,1.9422532,7.170522
20.719628,7.303982,0.5243687,10.756775
31.169227,7.813781,1.5630754,14.966964
30.607057,8.149114,1.6547581,14.790207
14.25868,5.825175,2.0386027,8.174726
20.258575,6.524191,0.458566,9.56284
17.193678,6.55496,2.0221019,8.456236
16.288753,5.567244,1.9734348,6.944983
15.011528,5.468337,1.8332525,8.034551
28.623983,7.629332,1.5849643,15.510133
32.011477,7.982966,1.5684309,14.536013
15.477463,6.047292,2.1145263,8.884251
28.995353,7.475411,1.451013,15.651193
11.107835,4.26968,2.9817075,3.635963
20.995701,7.052838,0.4558837,9.894329
22.448164,6.712327,0.5119245,11.301176
23.43013,6.977486,0.4523753,10.331179
17.469878,6.166029,0.4405383,10.21198
18.749921,7.921931,0.4636343,9.477088
15.870363,6.042369,2.1640846,6.864412
18.626294,6.809887,0.6650907,11.236675
19.374666,6.300354,2.1866852,7.225855
26.902494,8.281495,1.6080799,15.41143
11.643162,3.973376,2.9425611,5.377388
30.106008,7.75811,1.3243473,14.054591
11.675574,5.117693,2.9295404,4.939178
11.55993,6.050054,2.9335231,4.02599
7.723726,4.519072,3.088465,6.335518
18.065221,5.374364,1.8649097,8.845732
33.032941,7.859802,1.4911435,15.333903
32.737205,7.495812,1.5090497,15.116637
20.141017,6.826229,0.5543194,8.947487
25.381662,8.032647,1.5962528,13.348951
30.759279,8.526356,1.4478883,14.794701
17.947991,6.754721,0.6109848,8.661226
30.506637,8.393869,1.4624397,16.014943
7.753783,4.734547,3.1902362,3.246763
9.19423,4.269122,2.9899025,5.099328
12.947158,5.40726,2.1249915,7.645458
10.852928,5.722275,3.1955294,6.017559
15.362607,6.218262,2.0428167,7.985693
9.409857,5.225752,2.990968,3.811566
29.942906,8.384521,1.4438124,13.007252
9.833262,4.356485,3.048546,4.820094
17.864353,7.058823,0.4426027,10.23743
16.066766,6.679647,0.4276934,8.741351
31.844535,8.258431,1.461122,15.856923
6.626613,4.674025,3.005975,5.683746
9.066689,5.343958,2.8640159,4.42815
23.573826,7.150577,0.6675697,10.703524
29.914259,8.166101,1.4656083,14.572721
30.431883,7.81271,1.3467098,17.571458
16.987008,6.107223,2.1168384,7.352954
17.297615,5.750354,2.0168065,8.346104
17.051143,5.452002,1.9553443,7.410519
30.89642,8.318285,1.4866849,15.378168
15.663564,5.901412,2.0134039,9.37857
18.879049,6.644797,0.719881,9.284758
29.333585,7.369922,1.5047154,15.273766
14.348137,6.377027,1.978095,7.564355
14.559027,5.88186,2.0118145,8.476133
8.610586,5.350892,2.9211378,5.624187
27.962849,9.62052,1.6300199,16.024673
14.528599,5.694417,2.0020984,6.739317
14.337912,4.242666,2.8862696,5.056017
30.247708,8.488487,1.488636,12.534102
12.415924,4.199232,2.9820948,4.948018
19.054417,6.487936,0.3715284,10.911391
18.542218,6.871954,0.5707588,10.66082
9.584165,4.868901,2.9497801,5.959005
9.239058,4.278053,2.9218464,4.898117
10.306746,5.03898,2.9282782,5.632961
20.921832,6.607548,0.4211397,7.98579
